Country,RMSE,MAE,MAPE,R²,AIC,BIC
Sri Lanka,0.014062068332866733,0.013083059146654181,1.6837261175515352,-5.324638723310991,-156.70798612292657,-153.05135864832198
Sudan,0.004521163811155396,0.004100051362081977,0.7897385154381523,-4.62699543908852,-136.44091848972081,-132.78429101511622
Suriname,0.019719938339193912,0.013998358227690815,2.0164762870229564,-3.3925593446239857,-23.769871398268492,-20.11324392366389
Sweden,0.0025590785798413705,0.0020266187768236887,0.2146817622820315,0.636173156788727,-170.4371421377064,-166.7805146631018
Switzerland,0.0030982625651012007,0.0022667853131794124,0.235277580156594,0.5503228344234556,-223.95210313004807,-220.29547565544348
Syrian Arab Republic,0.006947279881766141,0.006281374055943788,1.12037682050419,-1.9415052114727285,-124.41236617764244,-120.75573870303784
Tajikistan,0.01475253439411214,0.012013804344041343,1.7884727001968737,-1.69298643470293,-142.6462238928945,-138.98959641828992
Tanzania (United Republic of),0.017047070454713566,0.015299788207951399,2.88691820855143,-2.7295777745705654,-227.21234937675538,-223.5557219021508
Thailand,0.026795184082214794,0.023264554089321425,2.9108748019002646,-64.39240262079744,-176.21464333849792,-172.55801586389333
Timor-Leste,0.034736704159227506,0.023880917555280674,4.116147366496143,-1.1257385552757198,-38.50023331099251,-34.84360583638791
Togo,0.007143335631232173,0.005969851900288965,1.1048024056813064,0.5882188812448745,-180.95784289975575,-177.30121542515116
Tonga,0.010319902751876352,0.009840589552113152,1.3331346129913961,-4.785498057207383,-214.0374468762574,-210.38081940165281
Trinidad and Tobago,0.024011165766545547,0.021710682031995127,2.6789330382343413,-47.707358606825125,-205.15153479952178,-201.4949073249172
Tunisia,0.0056989748249672255,0.005006659378101614,0.682617017686266,-1.0885005101376612,-229.43456151290144,-225.77793403829685
Turkey,0.030580625013288818,0.02676861045665733,3.180921246227609,-12.367431938146389,-174.9755520896512,-171.3189246150466
Turkmenistan,0.010126260625437563,0.00848594984811557,1.151231761929845,-2.3586340631417526,-24.879824459062366,-21.223196984457765
Tuvalu,0.0035657449657130326,0.003285756192852905,0.5027888918957857,-0.5653575901127714,-167.62910669094254,-163.97247921633794
Uganda,0.011152984152897987,0.009034933770438387,1.6573945722158985,-2.1679125364994163,-199.4221691872342,-195.7655417126296
Ukraine,0.017759297192558567,0.016563909824263274,2.163882011594396,-0.8966911146179779,-188.3834894762179,-184.7268620016133
United Arab Emirates,0.03821954422578395,0.03482160427403832,3.7593858800119118,-1.5717140155398814,-214.58692950847447,-210.93030203386988
United Kingdom,0.006725078152292746,0.0057988774930537125,0.6222924211032592,-0.3781760768456681,-196.18795535027735,-192.53132787567276
United States,0.005708015151079497,0.004548935141112098,0.49182703804632316,-1.3070670683275996,-250.8707352310076,-247.214107756403
Uruguay,0.006227709487767296,0.004901250382180097,0.5963592142070813,-0.18186188292121974,-207.90984391878064,-204.25321644417605
Uzbekistan,0.013980205079603594,0.01029533960675076,1.4272716233479517,-4.762250643394052,-28.81886048404086,-25.16223300943626
Vanuatu,0.015411727850318165,0.013900812684919812,2.275183444793224,-3.5713065244624254,-32.77921237662331,-29.122584902018712
Venezuela (Bolivarian Republic of),0.06566048882981004,0.05721502682938356,8.109577389627002,-5.133963120647807,-181.87856792928318,-178.2219404546786
Viet Nam,0.005307229387949247,0.003965844997444298,0.5505115338204305,0.6214570748658004,-244.46472041420554,-240.80809293960095
Yemen,0.09894061308108375,0.09039909814318621,21.124175287833076,-281.1605887801026,-190.87262277326332,-187.21599529865873
Zambia,0.014566405622744196,0.01215558820675089,2.139503318880873,-20.304976363830644,-201.00608674113843,-197.34945926653384
Zimbabwe,0.008553525142801848,0.006707223510822694,1.2134604868460357,-1.2322396177202082,-153.02899056569618,-149.3723630910916
