Country,Human Development Index (value),Expected Years of Schooling (years),Mean Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Life Expectancy at Birth (years),Cluster
Seychelles,0.5419999999999999,12.65339393939394,7.5249999999999995,20994.98496969697,71.43875757575756,0
Sierra Leone,0.3791818181818182,7.186242424242424,2.992848484848485,1385.1221515151517,50.52615151515152,2
Singapore,0.8856363636363636,15.932969696969698,9.97621212121212,66906.98633333333,80.06718181818182,3
Slovakia,0.6893030303030303,13.889939393939393,10.84139393939394,19522.85106060606,74.44054545454546,1
Slovenia,0.7376666666666667,15.705121212121213,11.067666666666668,26666.048696969698,77.9081212121212,1
Solomon Islands,0.3921212121212121,8.624636363636364,4.006757575757576,2330.012878787879,68.10239393939393,4
Somalia,0.011515151515151515,0.23172727272727273,0.05757575757575757,820.0011515151515,50.66433333333333,2
South Africa,0.6706363636363637,13.51039393939394,8.99709090909091,11820.270484848485,60.55230303030304,1
South Sudan,0.15148484848484847,2.1605757575757574,2.6027272727272726,382.9269393939394,46.42578787878788,2
Spain,0.8475757575757575,16.299969696969697,8.617151515151514,34856.460666666666,80.65924242424242,3
Sri Lanka,0.7156060606060606,12.774272727272727,9.979969696969697,8269.08915151515,72.95403030303031,1
Sudan,0.4457272727272727,6.343818181818182,2.8575757575757574,3918.2763333333337,58.98112121212121,4
Suriname,0.4002121212121212,11.025969696969698,4.661909090909091,13486.530969696969,67.96118181818181,0
Sweden,0.901060606060606,17.013939393939395,11.70830303030303,44465.86163636363,80.67042424242423,3
Switzerland,0.9113636363636364,15.303636363636363,12.081272727272728,63050.35790909091,81.14818181818181,3
Syrian Arab Republic,0.5942424242424242,9.781878787878789,5.286515151515152,5666.636939393939,70.53296969696969,0
Tajikistan,0.6042121212121212,10.619,10.832818181818181,2720.092060606061,65.304,1
Tanzania (United Republic of),0.4479090909090909,7.340939393939394,4.699484848484849,1787.2447272727272,57.782363636363634,5
Thailand,0.709939393939394,13.123484848484848,6.844969696969698,12258.967757575758,74.773,1
Timor-Leste,0.41309090909090906,8.617636363636365,3.528151515151515,5055.253727272727,59.574999999999996,4
Togo,0.4627272727272727,10.434545454545454,3.6253030303030305,1725.6200606060606,56.85093939393939,5
Tonga,0.6979090909090909,14.192575757575758,10.320848484848485,5499.919030303031,69.58478787878788,1
Trinidad and Tobago,0.7475454545454545,12.232363636363637,9.781424242424242,20462.53890909091,71.429,1
Tunisia,0.6746666666666666,12.996575757575757,5.859818181818182,8501.956393939394,74.06009090909092,1
Turkey,0.7216666666666667,13.533727272727273,6.440484848484848,19732.241393939395,73.4230606060606,1
Turkmenistan,0.38706060606060605,6.011272727272727,9.273151515151515,9512.805909090908,66.53769696969698,0
Tuvalu,0.6156666666666667,11.277606060606061,8.990242424242425,4413.06693939394,63.58254545454546,0
Uganda,0.44703030303030306,9.34218181818182,4.753939393939394,1577.5654242424243,54.07427272727273,5
Ukraine,0.7376363636363636,13.63069696969697,10.866181818181818,11009.30706060606,69.9719696969697,1
United Arab Emirates,0.8212727272727273,12.249272727272727,9.347515151515152,81722.73075757576,76.27987878787879,3
United Kingdom,0.8837575757575759,16.089424242424244,11.843575757575758,40022.73590909091,79.05848484848484,3
United States,0.9056060606060606,16.156787878787878,13.137757575757576,53213.429787878784,77.50084848484848,3
Uruguay,0.77,14.93290909090909,8.261393939393939,16789.26424242424,75.8809696969697,1
Uzbekistan,0.47006060606060607,11.36060606060606,7.712545454545455,4436.356606060606,67.89051515151516,0
Vanuatu,0.3212121212121212,9.996,3.502969696969697,2789.0684545454546,69.07906060606061,4
Venezuela (Bolivarian Republic of),0.7180909090909091,12.37560606060606,8.13678787878788,15729.491272727273,72.24266666666666,1
Viet Nam,0.6343333333333333,11.412181818181818,6.631484848484848,5511.539121212121,72.80124242424242,0
Yemen,0.4393030303030303,7.404393939393939,1.823060606060606,2582.7510909090906,63.95187878787878,4
Zambia,0.4856666666666667,9.770666666666667,5.936575757575758,2512.398909090909,52.99406060606061,5
Zimbabwe,0.4785151515151515,10.486151515151516,7.161151515151515,1650.1226666666666,52.39727272727273,5
